COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Tunnel    41723 danilrybalkin  219u  IPv4 0x9d7f407870baa695      0t0  TCP 192.168.1.134:51669->144.31.99.109:443 (ESTABLISHED)
replicato 41836 danilrybalkin    9u  IPv6 0x67b5f03d29248861      0t0  UDP *:52214
Codex\x20 65506 danilrybalkin   22u  IPv4 0x224eb3e48b252922      0t0  TCP 198.18.0.1:63885->142.251.1.188:5228 (ESTABLISHED)
Codex\x20 65506 danilrybalkin   26u  IPv4 0x2682276c2eb34690      0t0  TCP 198.18.0.1:63890->142.251.1.188:5228 (ESTABLISHED)
Codex\x20 65506 danilrybalkin   30u  IPv4 0xae3a8716b80ce931      0t0  TCP 198.18.0.1:63893->142.251.1.188:5228 (ESTABLISHED)
Codex\x20 65506 danilrybalkin   32u  IPv4 0x8eaf4f9b8f0f5d69      0t0  TCP 198.18.0.1:56567->104.18.32.47:443 (ESTABLISHED)
Codex\x20 65506 danilrybalkin   33u  IPv4 0xc29845ec130fcfe8      0t0  TCP 198.18.0.1:63475->172.64.150.28:443 (ESTABLISHED)
codex     65517 danilrybalkin   14u  IPv4 0xdd515c7a71c5b70d      0t0  TCP 198.18.0.1:59344->104.18.32.47:443 (ESTABLISHED)
codex     65517 danilrybalkin   18u  IPv4 0xb3a72de800abd704      0t0  TCP 198.18.0.1:63855->104.18.32.47:443 (ESTABLISHED)
OpenCode  71829 danilrybalkin   22u  IPv4 0xd4b1c771aa32c505      0t0  TCP 127.0.0.1:63992->127.0.0.1:52122 (ESTABLISHED)
OpenCode  71829 danilrybalkin   27u  IPv4 0x5b27037295cd0fa1      0t0  TCP 198.18.0.1:63161->185.199.111.133:443 (ESTABLISHED)
OpenCode  71829 danilrybalkin   36u  IPv4 0xee4fa34729f38b60      0t0  TCP 127.0.0.1:52142->127.0.0.1:52122 (ESTABLISHED)
OpenCode  71830 danilrybalkin   29u  IPv4 0x53c66e68a57405ff      0t0  TCP 127.0.0.1:52122 (LISTEN)
OpenCode  71830 danilrybalkin   36u  IPv4 0xdab4bd09c1a93473      0t0  TCP 198.18.0.1:62015->172.65.90.21:443 (ESTABLISHED)
OpenCode  71830 danilrybalkin   37u  IPv4 0xd8df57a3ee5bcb57      0t0  TCP 198.18.0.1:63990->172.65.90.23:443 (ESTABLISHED)
OpenCode  71830 danilrybalkin   38u  IPv4 0xf42534ca6ac0b1d2      0t0  TCP 198.18.0.1:63038->172.65.90.21:443 (ESTABLISHED)
OpenCode  71830 danilrybalkin   39u  IPv4 0x93cfcf898dbcdf70      0t0  TCP 198.18.0.1:63613->172.65.90.23:443 (ESTABLISHED)
OpenCode  71830 danilrybalkin   40u  IPv4 0xa14c6b25e288500d      0t0  TCP 127.0.0.1:52122->127.0.0.1:63992 (ESTABLISHED)
OpenCode  71830 danilrybalkin   43u  IPv4 0x6ccb1293026ed548      0t0  TCP 127.0.0.1:52122->127.0.0.1:52142 (ESTABLISHED)
Google    74297 danilrybalkin   21u  IPv4 0xff73f38a3ae0e5fd      0t0  TCP 198.18.0.1:63887->142.251.1.188:5228 (ESTABLISHED)
figma_age 91942 danilrybalkin    9u  IPv4 0xa7236e9883ef7472      0t0  TCP 127.0.0.1:44950 (LISTEN)
figma_age 91942 danilrybalkin   10u  IPv4 0xfc65a7400bd61a1a      0t0  TCP 127.0.0.1:44960 (LISTEN)
Telegram  97533 danilrybalkin   18u  IPv4 0x652f241e494cf403      0t0  TCP 198.18.0.1:51605->149.154.167.41:443 (ESTABLISHED)
Telegram  97533 danilrybalkin   49u  IPv4 0x4b34c2ae10cad1f1      0t0  TCP 198.18.0.1:63975->149.154.167.50:443 (ESTABLISHED)
Telegram  97533 danilrybalkin   56u  IPv4 0xb77c55e9ddd75e2c      0t0  TCP 198.18.0.1:51574->149.154.167.50:443 (ESTABLISHED)
Telegram  97533 danilrybalkin   61u  IPv4 0xaacdee51dfc5a1cb      0t0  TCP 198.18.0.1:51573->149.154.167.51:443 (ESTABLISHED)
